71,rn1qkbnr/1bpp1ppp/pp6/3P4/2P2P2/8/PP4PP/RNBQKBNR b KQkq - 0 6
72,rn1qk1nr/pbpp1pbp/1p2p1p1/3P4/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 6
73,rnbq1rk1/ppppnpbp/4p1p1/8/2BPP3/2N2N2/PPP2PPP/R1BQ1RK1 b - - 6 6
74,r1bqkb1r/pp2nppp/2n1p3/2ppP3/3P1PP1/2P5/PP5P/RNBQKBNR b KQkq - 0 6
75,r1bqk1nr/pppp1pp1/2n4p/2b2N2/2B1P3/8/PPP2PPP/RNBQK2R b KQkq - 2 6
76,rnbqk2r/ppp2ppp/5n2/2b1p3/4P3/3B1N2/PPP2PPP/RNBQ1RK1 b kq - 3 6
77,rn1qkb1r/pp2pppp/2p2n2/6B1/2pP2b1/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 6
78,r2qkbnr/pb2pppp/p2P4/8/4P3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 6
79,rnbqk1nr/pp2bppp/4p3/3p4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 6
80,rnbk1bnr/pp3ppp/8/2p1p3/4P3/2N1B3/PPP2PPP/R3KBNR b KQ - 1 6
81,rnbqkb1r/pp1n1ppp/4p3/2ppP3/3P4/5N2/PPP1BPPP/RNBQK2R b KQkq - 0 6
82,r2qkb1r/pp2pppp/2n4n/2ppP3/3P2b1/5PP1/PPP1Q2P/RNB1KBNR b KQkq - 0 6
83,rn1qkbnr/1bpppppp/8/1p1P4/4PP2/8/PP4PP/RNBQKBNR b KQkq - 0 6
84,r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/2NP1N1P/PPP2PP1/R1BQK2R b KQkq - 0 6
85,rnbqk2r/ppp2ppp/3b1n2/3p4/3P4/3B1N1P/PPP2PP1/RNBQK2R b KQkq - 2 6
86,rnbqk2r/pp1pnpbp/2p1p1p1/8/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq - 2 6
87,r1bk1bnr/ppp2ppp/2n5/4P3/4pB2/2N5/PPP2PPP/R3KBNR b KQ - 3 6
88,rnbqkbnr/p4pp1/2pp3p/1p2p3/4P3/1BNP1N2/PPP2PPP/R1BQK2R b KQkq - 1 6
89,r2qkbnr/p3pppp/2p5/2ppP3/6b1/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 6
90,rnbqk2r/pp2bppp/2p1pn2/3p4/2PP3B/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 6
91,rnbq1rk1/p1ppppbp/1p3Pp1/8/8/PP6/1BPPPP1P/RN1QKBNR b KQ - 0 6
92,rnb1k2r/ppppqppp/4p1n1/8/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq - 1 6
93,r1b1k1nr/pppp1ppp/8/1Bb3q1/3nP3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 2 6
94,rnb1kbnr/pp2pppp/1qp5/8/8/1PNP4/P1PB1PPP/R2QKBNR b KQkq - 0 6
95,rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/2NBPP2/PP4PP/R1BQK1NR b KQ - 2 6
96,r1bqkb1r/ppp2ppp/2n5/1B1pp3/4n3/3P1N2/PPP2PPP/RNBQR1K1 b kq - 0 6
97,rn1qkbnr/pp1b2pp/3p1p2/2p1p3/2P5/1P1P1P2/PB1NP1PP/R2QKBNR b KQkq - 0 6
98,rnbq1rk1/ppp1bppp/4pn2/2Pp4/3P1B2/P1N5/1P2PPPP/R2QKBNR b KQ - 2 6
99,rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2PB1N2/PP1N1PPP/R1BQK2R b KQ - 4 6
100,rnbq1rk1/ppppnpbp/4p1p1/8/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQ - 2 6
101,rnbqkbnr/3ppppp/p7/1p6/8/1P6/1BPPPPPP/RN1QKBNR b KQkq - 1 6
